Image File,Pixel Precision,Pixel Recall,Average Redundancy,Average Quality
00515 - kopie.txt,0.8411040656471466,0.8205967976710334,0.0,0.9449951244333284
00670.txt,0.47203647416413375,0.8367456896551724,0.25,0.850004756764875
00088.txt,0.9820554649265906,0.7377450980392157,0.0,0.9566796355597673
00231.txt,0.732254995242626,0.33683473389355745,0.0,0.7746989935784856
00444.txt,0.6451426368542791,0.9187482843810046,0.5,0.771367854446936
00554.txt,0.23676612127045235,0.8913043478260869,0.0,0.7937961061862652
00620.txt,0.4403387220939184,0.9416745061147695,0.5555555555555556,0.889504613213027
00601.txt,0.7109612141652614,0.8527508090614887,0.0,0.9131249026129525
00493.txt,0.44659471529586897,0.9868421052631579,0.0,0.7659145608224341
00001.txt,0.1724137931034483,1.0,1.0,0.8797944648056435
